image_path,source,k,curve,fake_score
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,0.4,bottom_first,0.828203
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,0.6,hot_first,0.917857
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,0.6,bottom_first,0.765613
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,1.0,hot_first,0.922237
C:\My_Project\AIGC\AIGuard\unseen\fake_184.jpg,aiguard_unseen,1.0,bottom_first,0.922237
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,0.05,hot_first,0.914374
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,0.05,bottom_first,0.901241
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,0.1,hot_first,0.911779
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,0.1,bottom_first,0.90045
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,0.2,hot_first,0.921394
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,0.2,bottom_first,0.881319
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,0.4,hot_first,0.922395
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,0.4,bottom_first,0.829758
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,0.6,hot_first,0.927834
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,0.6,bottom_first,0.779402
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,1.0,hot_first,0.920647
C:\My_Project\AIGC\AIGuard\unseen\fake_187.jpg,aiguard_unseen,1.0,bottom_first,0.920647
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,0.05,hot_first,0.92977
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,0.05,bottom_first,0.892617
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,0.1,hot_first,0.923582
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,0.1,bottom_first,0.877508
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,0.2,hot_first,0.920955
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,0.2,bottom_first,0.857979
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,0.4,hot_first,0.927827
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,0.4,bottom_first,0.814726
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,0.6,hot_first,0.936942
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,0.6,bottom_first,0.788001
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,1.0,hot_first,0.939473
C:\My_Project\AIGC\AIGuard\unseen\fake_216.jpg,aiguard_unseen,1.0,bottom_first,0.939473
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,0.05,hot_first,0.931675
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,0.05,bottom_first,0.898938
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,0.1,hot_first,0.926324
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,0.1,bottom_first,0.887652
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,0.2,hot_first,0.922367
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,0.2,bottom_first,0.881646
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,0.4,hot_first,0.93089
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,0.4,bottom_first,0.849383
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,0.6,hot_first,0.923779
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,0.6,bottom_first,0.829666
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,1.0,hot_first,0.9162
C:\My_Project\AIGC\AIGuard\unseen\fake_222.jpg,aiguard_unseen,1.0,bottom_first,0.9162
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,0.05,hot_first,0.916745
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,0.05,bottom_first,0.89324
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,0.1,hot_first,0.913456
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,0.1,bottom_first,0.91427
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,0.2,hot_first,0.926187
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,0.2,bottom_first,0.902116
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,0.4,hot_first,0.93782
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,0.4,bottom_first,0.854817
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,0.6,hot_first,0.938888
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,0.6,bottom_first,0.774263
C:\My_Project\AIGC\AIGuard\unseen\fake_231.jpg,aiguard_unseen,1.0,hot_first,0.939433
