evidence_feature,family,fake_source,n_fake,n_real,effect_size,auroc,auroc_ci_lower,auroc_ci_upper,direction,corr_with_v811_fake_prob,corr_with_cam_faithfulness,n_matched_cam,resolution_confound_corr_real,resolution_confound_corr_fake,face_size_confound_corr_real,face_size_confound_corr_fake,direction_consistent_across_sources,between_source_resolution_confound_spearman
freq_high_energy_frac,frequency,aiguard_unseen,60,210,0.4468679825914262,0.6116666666666667,0.5301805555555557,0.6941349206349207,higher-in-fake,-0.23739927757710483,0.5464285714285714,15,-0.030127039232626895,0.3109558264117892,-0.056233240443766756,-0.2300083356487914,False,-0.043013484982745764
freq_high_energy_frac,frequency,stylegan2_ood,60,210,0.48076727213489784,0.6378571428571429,0.5567440476190476,0.72153373015873,higher-in-fake,0.04345651569880523,,0,-0.030127039232626895,,-0.056233240443766756,0.09230341761600445,False,-0.043013484982745764
freq_high_energy_frac,frequency,df40_dit,44,210,-1.0311318887901015,0.12067099567099566,0.07185064935064935,0.18161796536796534,higher-in-real,0.053981677237491185,0.6727272727272727,11,-0.030127039232626895,,-0.056233240443766756,0.11374207188160676,False,-0.043013484982745764
freq_high_energy_frac,frequency,df40_sit,45,210,-0.9037670620419952,0.18211640211640212,0.11815608465608465,0.2582089947089947,higher-in-real,-0.14321475625823452,0.14285714285714288,6,-0.030127039232626895,,-0.056233240443766756,-0.45322793148880103,False,-0.043013484982745764
freq_high_energy_frac,frequency,df40_ddim,45,210,-0.8567024793851828,0.19714285714285715,0.13777777777777778,0.25545238095238093,higher-in-real,-0.2592885375494071,0.25,7,-0.030127039232626895,,-0.056233240443766756,-0.17075098814229248,False,-0.043013484982745764
freq_high_energy_frac,frequency,df40_pixart,45,210,-1.0140463541128932,0.13015873015873017,0.07947089947089947,0.18520634920634918,higher-in-real,-0.2936758893280632,-0.016666666666666666,9,-0.030127039232626895,,-0.056233240443766756,-0.2595520421607378,False,-0.043013484982745764
freq_high_energy_frac,frequency,df40_sd21,44,210,-1.233899008296173,0.06742424242424243,0.03666666666666667,0.10400703463203463,higher-in-real,-0.19704016913319236,0.28571428571428575,8,-0.030127039232626895,,-0.056233240443766756,-0.061451726568005634,False,-0.043013484982745764
freq_high_energy_frac,frequency,midjourney,45,210,1.0617518769243897,0.82,0.7555396825396825,0.8749285714285714,higher-in-fake,0.31831357048748354,0.2833333333333333,9,-0.030127039232626895,,-0.056233240443766756,-0.0743083003952569,False,-0.043013484982745764
freq_radial_powerlaw_slope,frequency,aiguard_unseen,60,210,0.9150025677990973,0.7537301587301587,0.6888690476190477,0.8182539682539682,higher-in-fake,-0.2265629341483746,0.33928571428571425,15,0.3837092023967484,0.3002332117079344,0.506688048793312,-0.08424562378438456,False,-0.009558552218387948
freq_radial_powerlaw_slope,frequency,stylegan2_ood,60,210,1.7281766259262137,0.900952380952381,0.8618908730158731,0.9355595238095238,higher-in-fake,-0.27741039177549326,,0,0.3837092023967484,,0.506688048793312,-0.04995832175604335,False,-0.009558552218387948
freq_radial_powerlaw_slope,frequency,df40_dit,44,210,-0.6676525732772689,0.3260822510822511,0.2635227272727273,0.3912364718614718,higher-in-real,0.024947145877378434,-0.8000000000000002,11,0.3837092023967484,,0.506688048793312,0.06807610993657505,False,-0.009558552218387948
freq_radial_powerlaw_slope,frequency,df40_sit,45,210,-0.5236580434960234,0.3797883597883598,0.3096084656084656,0.45313227513227516,higher-in-real,-0.15573122529644268,-0.3142857142857143,6,0.3837092023967484,,0.506688048793312,-0.122266139657444,False,-0.009558552218387948
freq_radial_powerlaw_slope,frequency,df40_ddim,45,210,0.6585871464085242,0.7256084656084656,0.6669814814814815,0.781068783068783,higher-in-fake,-0.464558629776021,0.42857142857142866,7,0.3837092023967484,,0.506688048793312,-0.11791831357048746,False,-0.009558552218387948
freq_radial_powerlaw_slope,frequency,df40_pixart,45,210,-1.3991125107449927,0.08391534391534392,0.053224867724867723,0.11905026455026455,higher-in-real,0.12938076416337285,-0.2333333333333333,9,0.3837092023967484,,0.506688048793312,0.2096179183135705,False,-0.009558552218387948
freq_radial_powerlaw_slope,frequency,df40_sd21,44,210,-0.730444632041391,0.2946969696969697,0.22322781385281384,0.36645292207792207,higher-in-real,0.12346723044397463,0.4285714285714286,8,0.3837092023967484,,0.506688048793312,0.1596899224806201,False,-0.009558552218387948
freq_radial_powerlaw_slope,frequency,midjourney,45,210,1.0401275618373804,0.8022222222222222,0.74855291005291,0.8503809523809523,higher-in-fake,-0.19749670619235835,0.16666666666666669,9,0.3837092023967484,,0.506688048793312,0.5847167325428194,False,-0.009558552218387948
freq_powerlaw_residual_std,frequency,aiguard_unseen,60,210,-0.8311366855938588,0.2742857142857143,0.21189880952380952,0.33980158730158727,higher-in-real,-0.04201166990830787,-0.175,15,-0.4565386012720541,-0.2895105970040796,-0.5040314948209685,-0.1896637954987497,False,-0.2628601860056686
