model,source,filter_type,n_failures,n_total_composites,failure_mode,count,pct_of_failures,pct_of_all_composites
v816@0.95_calibrated,DF40-cdf-sd2.1,eye_enlarging,37,37,threshold_calibration_miss,6,16.216216216216218,16.216216216216218
v816@0.95_calibrated,DF40-cdf-sd2.1,eye_enlarging,37,37,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,face_reshaping,37,37,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,face_reshaping,37,37,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,face_reshaping,37,37,filter_head_miss,32,86.48648648648648,86.48648648648648
v816@0.95_calibrated,DF40-cdf-sd2.1,face_reshaping,37,37,threshold_calibration_miss,5,13.513513513513514,13.513513513513514
v816@0.95_calibrated,DF40-cdf-sd2.1,face_reshaping,37,37,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,smoothing_medium,37,37,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,smoothing_medium,37,37,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,smoothing_medium,37,37,filter_head_miss,27,72.97297297297297,72.97297297297297
v816@0.95_calibrated,DF40-cdf-sd2.1,smoothing_medium,37,37,threshold_calibration_miss,10,27.027027027027028,27.027027027027028
v816@0.95_calibrated,DF40-cdf-sd2.1,smoothing_medium,37,37,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,whitening_medium,39,39,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,whitening_medium,39,39,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-sd2.1,whitening_medium,39,39,filter_head_miss,35,89.74358974358975,89.74358974358975
v816@0.95_calibrated,DF40-cdf-sd2.1,whitening_medium,39,39,threshold_calibration_miss,4,10.256410256410255,10.256410256410255
v816@0.95_calibrated,DF40-cdf-sd2.1,whitening_medium,39,39,other_unclassifiable,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,eye_enlarging,36,36,layer1_real,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,eye_enlarging,36,36,fake_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,eye_enlarging,36,36,filter_head_miss,31,86.11111111111111,86.11111111111111
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,eye_enlarging,36,36,threshold_calibration_miss,5,13.88888888888889,13.88888888888889
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,eye_enlarging,36,36,other_unclassifiable,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,face_reshaping,36,36,layer1_real,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,face_reshaping,36,36,fake_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,face_reshaping,36,36,filter_head_miss,25,69.44444444444444,69.44444444444444
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,face_reshaping,36,36,threshold_calibration_miss,11,30.555555555555557,30.555555555555557
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,face_reshaping,36,36,other_unclassifiable,0,0.0,0.0
