model,source,filter_type,n_clean_fake,n_fake_filter,clean_fake_false_filter_rate,clean_fake_false_filter_rate_95ci,filter_head_auroc,filter_head_auroc_95ci,joint_recognition_rate,joint_recognition_95ci,fake_head_recall,has_filter_recall,mean_filter_probability,median_filter_probability,calibration_threshold
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,whitening_medium,42,42,0.0,"[0.0000, 0.0000]",0.5402494331065759,"[0.4070, 0.6684]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.33146938575165613,0.3280658572912216,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,eye_enlarging,40,40,0.0,"[0.0000, 0.0000]",0.7112499999999999,"[0.5944, 0.8181]",0.075,"[0.0000, 0.1750]",1.0,0.075,0.5428186569362878,0.5183390378952026,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,face_reshaping,40,40,0.0,"[0.0000, 0.0000]",0.6425000000000001,"[0.5169, 0.7588]",0.1,"[0.0250, 0.2000]",1.0,0.1,0.5074544578790665,0.4605185389518738,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,smoothing_medium,40,40,0.0,"[0.0000, 0.0000]",0.9962500000000001,"[0.9875, 1.0000]",0.9,"[0.8000, 0.9750]",1.0,0.9,0.9346725359559059,0.960528552532196,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,whitening_medium,40,40,0.0,"[0.0000, 0.0000]",0.448125,"[0.3250, 0.5713]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.3641890177503228,0.31762880086898804,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-pixart,eye_enlarging,43,43,0.0,"[0.0000, 0.0000]",0.5640886965927528,"[0.4429, 0.6842]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.3018900998109995,0.2609147727489471,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-pixart,face_reshaping,43,43,0.0,"[0.0000, 0.0000]",0.49972958355868036,"[0.3775, 0.6257]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.2651585883699184,0.2318675518035888,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-pixart,smoothing_medium,43,43,0.0,"[0.0000, 0.0000]",0.5116279069767442,"[0.3829, 0.6376]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.26832186759904375,0.2343371957540512,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-pixart,whitening_medium,43,43,0.0,"[0.0000, 0.0000]",0.5381287182260681,"[0.4208, 0.6604]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.28977674609699916,0.235957384109497,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-sd2.1,eye_enlarging,39,37,0.0,"[0.0000, 0.0000]",0.5107415107415108,"[0.3756, 0.6459]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.29500237932881795,0.2919134795665741,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-sd2.1,face_reshaping,39,37,0.0,"[0.0000, 0.0000]",0.48995148995148996,"[0.3597, 0.6210]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.2854082028608064,0.2545197606086731,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-sd2.1,smoothing_medium,39,37,0.0,"[0.0000, 0.0000]",0.6521136521136521,"[0.5274, 0.7748]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.39926294358195485,0.3694876730442047,0.85
v816@0.85_uncalibrated_reference,DF40-cdf-sd2.1,whitening_medium,39,39,0.0,"[0.0000, 0.0000]",0.4990138067061144,"[0.3708, 0.6319]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.2949294375303464,0.2623797953128814,0.85
