model,source,filter_type,resolution_condition,n_clean_fake,n_fake_filter,clean_fake_false_filter_rate,clean_fake_false_filter_rate_95ci,filter_head_auroc,filter_head_auroc_95ci,joint_recognition_rate,joint_recognition_95ci,fake_head_recall,mean_filter_probability,median_filter_probability,calibration_threshold
CellC@0.85,DF40-cdf-pixart,eye_enlarging,native,43,43,0.0,"[0.0000, 0.0000]",0.550027041644132,"[0.4273, 0.6712]",0.0,"[0.0000, 0.0000]",1.0,0.01565063027340134,0.005352041684091,0.85
CellC@0.85,DF40-cdf-pixart,smoothing_medium,native,43,43,0.0,"[0.0000, 0.0000]",0.43591130340724715,"[0.3142, 0.5641]",0.0,"[0.0000, 0.0000]",1.0,0.0073305581747770245,0.0036837712395936,0.85
CellC@0.85,DF40-cdf-pixart,face_reshaping,native,43,43,0.0,"[0.0000, 0.0000]",0.502974580854516,"[0.3829, 0.6263]",0.0,"[0.0000, 0.0000]",1.0,0.011950512430197414,0.0047550192102789,0.85
CellC@0.85,DF40-cdf-pixart,whitening_medium,canonical_256,43,43,0.0,"[0.0000, 0.0000]",0.5592212006489994,"[0.4375, 0.6750]",0.0,"[0.0000, 0.0000]",1.0,0.05432575916719814,0.0278561264276504,0.85
CellC@0.85,DF40-cdf-pixart,eye_enlarging,canonical_256,43,43,0.0,"[0.0000, 0.0000]",0.5473228772309356,"[0.4202, 0.6701]",0.0,"[0.0000, 0.0000]",1.0,0.054106040494949624,0.0267593134194612,0.85
CellC@0.85,DF40-cdf-pixart,smoothing_medium,canonical_256,43,43,0.0,"[0.0000, 0.0000]",0.7712276906435911,"[0.6696, 0.8621]",0.046511627906976744,"[0.0000, 0.1163]",1.0,0.19457183833515576,0.0901574417948722,0.85
CellC@0.85,DF40-cdf-pixart,face_reshaping,canonical_256,43,43,0.0,"[0.0000, 0.0000]",0.5078420767982693,"[0.3829, 0.6317]",0.0,"[0.0000, 0.0000]",1.0,0.040900082630646734,0.0261380113661289,0.85
CellC@0.85,DF40-cdf-pixart,whitening_medium,canonical_512,43,43,0.0,"[0.0000, 0.0000]",0.5089237425635478,"[0.3915, 0.6328]",0.0,"[0.0000, 0.0000]",1.0,0.012939748121425463,0.0067028882913291,0.85
CellC@0.85,DF40-cdf-pixart,eye_enlarging,canonical_512,43,43,0.0,"[0.0000, 0.0000]",0.5467820443482964,"[0.4186, 0.6685]",0.0,"[0.0000, 0.0000]",1.0,0.01772275907095777,0.0067480183206498,0.85
CellC@0.85,DF40-cdf-pixart,smoothing_medium,canonical_512,43,43,0.0,"[0.0000, 0.0000]",0.5170362358031368,"[0.3980, 0.6458]",0.0,"[0.0000, 0.0000]",1.0,0.022316437877909514,0.0064171515405178,0.85
CellC@0.85,DF40-cdf-pixart,face_reshaping,canonical_512,43,43,0.0,"[0.0000, 0.0000]",0.5148729042725797,"[0.3926, 0.6317]",0.0,"[0.0000, 0.0000]",1.0,0.0159183746490757,0.0055881282314658,0.85
CellC@0.85,DF40-cdf-pixart,whitening_medium,canonical_1024,43,43,0.0,"[0.0000, 0.0000]",0.4889129259058951,"[0.3667, 0.6128]",0.0,"[0.0000, 0.0000]",1.0,0.009116034101976339,0.0042126947082579,0.85
